title,content,name,fixedphone,mobilephone,duty,belongdep,Email,Intranet_communication,HeadportraitURL,personaldescription,pinyin_name,attention_degree
李辉,,李辉,8128,14405808441,实习生,\职能中心\质量保障部,583p7@infcn.com.cn,583p7@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,老天给了每个人一条命，一颗心，把命照看好，把心安顿好，人生即是圆满。,,186
杜杰文,,杜杰文,8181,13910357235,综合事务总监,\职能中心\综合事务部,SNCEJV@infcn.com.cn,SNCEJV@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,12
周生存,,周生存,8115,17092462262,人力资源专员,\职能中心\综合事务部,63VJ@infcn.com.cn,63VJ@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,我们不怕目标定得高远，只怕没有追寻的勇气、热情和执著。只要心头时时燃烧着坚定的信念，一往无前地行进下去，就会惊讶地发现：很多所谓的远方其实并不遥远。,,32
孟矿军,,孟矿军,8114,15582522435,综合事务专员,\职能中心\综合事务部,F84bK@infcn.com.cn,F84bK@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,清风皓月，遗落在心中的时光，牵挂，爱里的寂寞，我在寂寞中渐渐老去。,,10
庄鹏,,庄鹏,8183,19809304868,会计主管,\职能中心\综合事务部,0HEWZYgIiJ@infcn.com.cn,0HEWZYgIiJ@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,,,0
常家强,,常家强,8182,10930574686,会计,\职能中心\综合事务部,M9n@infcn.com.cn,M9n@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,,,0
梁学莲,,梁学莲,8184,15868278034,出纳,\职能中心\综合事务部,R01nAD@infcn.com.cn,R01nAD@infcn.com.cn,/ESPcontacts/headportrait/noheadp.png,,,0
丁文军,,丁文军,8012,17237969461,行政主管,\职能中心\综合事务部,HV8@infcn.com.cn,HV8@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,130
董树志,,董树志,8014,16710970148,网络工程师,\职能中心\综合事务部,hAxBwp05n@infcn.com.cn,hAxBwp05n@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,面对远方的暗影，却藏起心中的恐惧，不经意地挡住你的视线，温柔地执手，指给你看路边的繁花。生命中很多浪漫都是这样，任身边滔天巨浪，他却默默给你温柔守护，不声不响。,,84
谭树富,,谭树富,8015,14220084334,司机,\职能中心\综合事务部,Fb3O@infcn.com.cn,Fb3O@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,,,0
刘天启,,刘天启,8000,13885886416,行政助理兼前台,\职能中心\综合事务部,MOMEnMBogFMw@infcn.com.cn,MOMEnMBogFMw@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,0
仇慎辉,,仇慎辉,8001,16517782881,行政助理兼前台,\职能中心\综合事务部,p7jzl@infcn.com.cn,p7jzl@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,168
童丽艳,,童丽艳,8185,19404018650,出纳,\职能中心\综合事务部,uNIY@infcn.com.cn,uNIY@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,,,98
黄少坤,,黄少坤,8171,14587597222,部门副经理,\职能中心\法务部,0c8eh@infcn.com.cn,0c8eh@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,流年无恙，故人在何方，岁月中有多少回眸的叹息，品寂寞，悟人生，写满悲欢千行泪。,,0
